image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0012_top_20250630_t0.jpg,1,1517,718,1551,807,34,89,3026,227,336,295,383
0012_top_20250630_t0.jpg,2,1569,710,1599,799,30,89,2670,221,268,288,310
0012_top_20250630_t0.jpg,3,1703,711,1744,801,41,90,3690,223,71,289,120
0012_top_20250630_t0.jpg,4,1657,709,1697,798,40,89,3560,221,134,287,185
0012_top_20250630_t0.jpg,5,1613,716,1651,805,38,89,3382,226,196,293,246
0012_top_20250630_t0.jpg,6,1640,926,1679,1009,39,83,3237,390,148,459,202
0012_top_20250630_t0.jpg,7,1517,921,1554,1009,37,88,3256,388,334,464,388
0012_top_20250630_t0.jpg,8,1672,364,1821,517,149,153,22797,0,0,89,174
0012_top_20250630_t0.jpg,9,1431,919,1465,964,34,45,1530,389,471,427,523
0012_top_20250630_t0.jpg,10,1359,931,1382,1001,23,70,1610,401,608,463,640
