image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0015_top_20250626_t1.jpg,1,765,472,788,528,23,56,1288,212,587,287,639
0015_top_20250626_t1.jpg,2,944,475,977,541,33,66,2178,179,106,265,171
0015_top_20250626_t1.jpg,3,792,461,818,519,26,58,1508,191,512,269,568
0015_top_20250626_t1.jpg,4,819,455,847,520,28,65,1820,177,438,264,498
0015_top_20250626_t1.jpg,5,855,536,912,569,57,33,1881,282,252,318,393
0015_top_20250626_t1.jpg,6,977,477,1007,531,30,54,1620,176,30,245,92
0015_top_20250626_t1.jpg,7,850,466,877,530,27,64,1728,186,358,271,414
0015_top_20250626_t1.jpg,8,963,647,992,700,29,53,1537,415,18,487,77
0015_top_20250626_t1.jpg,9,798,529,848,563,50,34,1700,285,417,323,545
0015_top_20250626_t1.jpg,10,883,482,908,533,25,51,1275,201,277,269,329
0015_top_20250626_t1.jpg,11,936,640,964,701,28,61,1708,411,90,495,147
0015_top_20250626_t1.jpg,12,914,479,946,543,32,64,2048,190,182,275,246
0015_top_20250626_t1.jpg,13,1006,470,1021,540,15,70,1050,160,0,255,15
