image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0012_top_20250708_t0.png,1,1055,470,1098,547,43,77,3311,576,472,607,588
0012_top_20250708_t0.png,2,981,493,1028,571,47,78,3666,498,469,531,581
0012_top_20250708_t0.png,3,858,513,915,602,57,89,5073,383,437,420,558
0012_top_20250708_t0.png,4,504,314,571,399,67,85,5695,154,21,189,123
0012_top_20250708_t0.png,5,1021,493,1061,560,40,67,2680,537,488,566,585
0012_top_20250708_t0.png,6,816,523,875,616,59,93,5487,346,431,382,555
0012_top_20250708_t0.png,7,784,372,827,436,43,64,2752,351,192,377,278
0012_top_20250708_t0.png,8,770,534,829,627,59,93,5487,307,425,342,546
0012_top_20250708_t0.png,9,531,595,603,703,72,108,7776,124,402,159,530
0012_top_20250708_t0.png,10,906,506,958,594,52,88,4576,426,450,460,572
0012_top_20250708_t0.png,11,304,446,371,532,67,86,5762,10,128,39,224
0012_top_20250708_t0.png,12,634,571,697,666,63,95,5985,198,414,232,531
0012_top_20250708_t0.png,13,409,424,479,520,70,96,6720,75,135,108,246
0012_top_20250708_t0.png,14,677,554,746,659,69,105,7245,232,412,270,544
0012_top_20250708_t0.png,15,748,376,792,440,44,64,2816,321,184,347,269
0012_top_20250708_t0.png,16,413,334,485,415,72,81,5832,92,22,129,114
0012_top_20250708_t0.png,17,661,376,717,462,56,86,4816,254,153,284,266
0012_top_20250708_t0.png,18,725,542,791,648,66,106,6996,270,416,307,553
0012_top_20250708_t0.png,19,299,349,364,436,65,87,5655,22,6,50,106
0012_top_20250708_t0.png,20,469,415,537,505,68,90,6120,114,142,148,249
0012_top_20250708_t0.png,21,579,579,656,692,77,113,8701,158,404,198,540
0012_top_20250708_t0.png,22,568,393,629,484,61,91,5551,184,145,215,259
0012_top_20250708_t0.png,23,705,377,757,458,52,81,4212,287,170,316,277
0012_top_20250708_t0.png,24,353,333,423,423,70,90,6300,56,2,88,106
0012_top_20250708_t0.png,25,609,379,673,474,64,95,6080,215,141,249,262
0012_top_20250708_t0.png,26,1068,548,1101,578,33,30,990,571,606,603,638
