image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0009_top_20250705_t0.png,1,878,875,942,949,64,74,4736,156,67,181,129
0009_top_20250705_t0.png,2,450,865,529,927,79,62,4898,345,0,377,46
0009_top_20250705_t0.png,3,412,688,505,769,93,81,7533,375,143,412,207
0009_top_20250705_t0.png,4,177,257,246,319,69,62,4278,548,529,575,583
0009_top_20250705_t0.png,5,753,637,829,710,76,73,5548,231,272,262,333
0009_top_20250705_t0.png,6,358,436,449,513,91,77,7007,430,380,467,444
0009_top_20250705_t0.png,7,1068,752,1136,824,68,72,4896,76,230,104,291
0009_top_20250705_t0.png,8,943,596,1021,672,78,76,5928,144,354,177,418
0009_top_20250705_t0.png,9,623,663,703,732,80,69,5520,287,223,320,278
0009_top_20250705_t0.png,10,484,860,570,935,86,75,6450,327,1,361,59
0009_top_20250705_t0.png,11,585,669,657,734,72,65,4680,308,210,337,263
0009_top_20250705_t0.png,12,352,359,433,431,81,72,5832,447,459,480,520
0009_top_20250705_t0.png,13,555,329,634,398,79,69,5451,356,541,389,600
0009_top_20250705_t0.png,14,398,605,482,685,84,80,6720,395,218,428,284
0009_top_20250705_t0.png,15,574,847,647,920,73,73,5329,294,31,322,90
0009_top_20250705_t0.png,16,486,677,576,755,90,78,7020,344,172,380,234
0009_top_20250705_t0.png,17,411,434,489,501,78,67,5226,412,402,444,457
0009_top_20250705_t0.png,18,1078,575,1146,641,68,66,4488,86,415,115,471
0009_top_20250705_t0.png,19,524,856,607,927,83,71,5893,311,16,344,71
0009_top_20250705_t0.png,20,473,331,557,402,84,71,5964,392,519,427,579
0009_top_20250705_t0.png,21,1013,494,1092,562,79,68,5372,119,483,154,539
0009_top_20250705_t0.png,22,822,617,903,688,81,71,5751,198,311,232,369
0009_top_20250705_t0.png,23,496,866,563,930,67,64,4288,330,4,356,55
0009_top_20250705_t0.png,24,686,823,778,898,92,75,6900,236,80,274,137
0009_top_20250705_t0.png,25,650,372,741,447,91,75,6825,300,517,339,579
0009_top_20250705_t0.png,26,545,675,604,735,59,60,3540,332,198,355,248
0009_top_20250705_t0.png,27,867,605,952,679,85,74,6290,176,331,212,391
0009_top_20250705_t0.png,28,1017,761,1091,827,74,66,4884,96,218,128,270
0009_top_20250705_t0.png,29,1060,495,1121,560,61,65,3965,105,492,131,550
0009_top_20250705_t0.png,30,905,526,960,583,55,57,3135,180,430,203,480
0009_top_20250705_t0.png,31,525,407,615,476,90,69,6210,356,457,394,512
0009_top_20250705_t0.png,32,538,412,600,470,62,58,3596,363,460,388,510
0009_top_20250705_t0.png,33,426,342,514,412,88,70,6160,411,498,448,555
0009_top_20250705_t0.png,34,505,681,569,744,64,63,4032,347,181,372,233
0009_top_20250705_t0.png,35,475,595,569,671,94,76,7144,356,252,395,311
0009_top_20250705_t0.png,36,516,323,605,395,89,72,6408,370,537,408,597
