image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0015_top_20250624_t1.jpg,1,1315,1038,1371,1113,56,75,4200,0,327,41,444
0015_top_20250624_t1.jpg,2,1878,1087,1915,1158,37,71,2627,493,461,520,562
0015_top_20250624_t1.jpg,3,1719,1104,1759,1174,40,70,2800,365,471,396,576
0015_top_20250624_t1.jpg,4,1294,885,1340,959,46,74,3404,16,103,45,203
0015_top_20250624_t1.jpg,5,1645,1099,1691,1171,46,72,3312,302,458,337,567
0015_top_20250624_t1.jpg,6,1367,882,1411,957,44,75,3300,84,113,112,211
0015_top_20250624_t1.jpg,7,1388,1035,1442,1108,54,73,3942,74,332,113,443
0015_top_20250624_t1.jpg,8,1859,1009,1895,1070,36,61,2196,478,353,504,432
0015_top_20250624_t1.jpg,9,1532,1021,1582,1099,50,78,3900,211,330,247,443
0015_top_20250624_t1.jpg,10,1990,1092,2043,1168,53,76,4028,579,478,613,583
0015_top_20250624_t1.jpg,11,1479,873,1519,953,40,80,3200,184,122,209,224
0015_top_20250624_t1.jpg,12,1494,1017,1543,1098,49,81,3969,177,320,211,439
0015_top_20250624_t1.jpg,13,1709,1015,1753,1091,44,76,3344,362,344,394,449
0015_top_20250624_t1.jpg,14,1785,1009,1820,1079,35,70,2450,422,345,448,438
0015_top_20250624_t1.jpg,15,1822,1008,1856,1075,34,67,2278,450,347,476,435
0015_top_20250624_t1.jpg,16,1337,1128,1379,1199,42,71,2982,0,472,28,597
0015_top_20250624_t1.jpg,17,1750,1016,1786,1083,36,67,2412,394,349,421,441
0015_top_20250624_t1.jpg,18,1498,1103,1553,1186,55,83,4565,168,449,208,584
0015_top_20250624_t1.jpg,19,1453,1031,1502,1106,49,75,3675,137,335,172,446
0015_top_20250624_t1.jpg,20,1636,1011,1682,1091,46,80,3680,302,330,335,442
0015_top_20250624_t1.jpg,21,1539,1101,1588,1174,49,73,3577,206,451,243,566
0015_top_20250624_t1.jpg,22,1440,886,1475,949,35,63,2205,149,131,171,212
0015_top_20250624_t1.jpg,23,1598,1018,1643,1095,45,77,3465,269,335,301,444
0015_top_20250624_t1.jpg,24,1979,999,2026,1077,47,78,3666,567,354,596,453
0015_top_20250624_t1.jpg,25,1675,1018,1716,1090,41,72,2952,334,344,364,443
0015_top_20250624_t1.jpg,26,1793,1095,1825,1156,32,61,1952,426,464,451,553
0015_top_20250624_t1.jpg,27,1835,1087,1866,1159,31,72,2232,459,457,483,560
0015_top_20250624_t1.jpg,28,2025,1002,2066,1068,41,66,2706,599,362,623,444
0015_top_20250624_t1.jpg,29,2062,1003,2091,1061,29,58,1682,624,366,640,438
0015_top_20250624_t1.jpg,30,2065,848,2106,912,41,64,2624,617,186,639,253
