image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0005_top_20250705_t1.JPG,1,1227,539,1322,647,95,108,10260,391,317,412,370
0005_top_20250705_t1.JPG,2,1194,999,1275,1102,81,103,8343,370,87,387,133
0005_top_20250705_t1.JPG,3,1055,1026,1139,1091,84,65,5460,406,78,428,103
0005_top_20250705_t1.JPG,4,897,1032,966,1108,69,76,5244,457,48,474,82
0005_top_20250705_t1.JPG,5,833,1026,900,1097,67,71,4757,478,45,495,77
0005_top_20250705_t1.JPG,6,777,1017,845,1096,68,79,5372,496,38,513,75
0005_top_20250705_t1.JPG,7,899,1037,958,1099,59,62,3658,459,52,474,79
0005_top_20250705_t1.JPG,8,747,1014,812,1092,65,78,5070,507,36,523,73
0005_top_20250705_t1.JPG,9,797,1018,870,1102,73,84,6132,488,38,506,77
0005_top_20250705_t1.JPG,10,790,1020,854,1093,64,73,4672,493,41,509,75
0005_top_20250705_t1.JPG,11,971,1020,1036,1099,65,79,5135,437,61,452,97
0005_top_20250705_t1.JPG,12,766,1016,836,1092,70,76,5320,499,39,517,74
