image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0001_top_20250703_t0.JPG,1,1059,1032,1137,1072,78,40,3120,536,232,616,293
0001_top_20250703_t0.JPG,2,780,984,818,1063,38,79,3002,232,182,273,319
0001_top_20250703_t0.JPG,3,846,995,889,1071,43,76,3268,305,194,349,324
0001_top_20250703_t0.JPG,4,1067,986,1150,1028,83,42,3486,540,151,623,214
0001_top_20250703_t0.JPG,5,983,1182,1050,1228,67,46,3082,466,518,538,600
0001_top_20250703_t0.JPG,6,740,983,773,1061,33,78,2574,189,186,224,320
0001_top_20250703_t0.JPG,7,985,1007,1030,1087,45,80,3600,457,197,500,335
0001_top_20250703_t0.JPG,8,910,1006,951,1084,41,78,3198,375,205,416,339
0001_top_20250703_t0.JPG,9,1018,1010,1065,1089,47,79,3713,493,199,537,333
0001_top_20250703_t0.JPG,10,948,1005,991,1084,43,79,3397,417,198,458,334
