image,pair_id,x1,y1,x2,y2,width,height,area,x1_original,y1_original,x2_original,y2_original
0023_top_20250711_t0.png,1,1222,944,1261,1026,39,82,3198,206,58,307,109
0023_top_20250711_t0.png,2,1151,675,1220,835,69,160,11040,446,0,605,68
0023_top_20250711_t0.png,3,1469,915,1491,985,22,70,1540,168,550,288,602
0023_top_20250711_t0.png,4,1370,926,1395,999,25,73,1825,192,309,298,360
0023_top_20250711_t0.png,5,1275,1011,1317,1119,42,108,4536,47,131,196,199
0023_top_20250711_t0.png,6,1434,925,1455,986,21,61,1281,184,454,282,503
0023_top_20250711_t0.png,7,1278,706,1323,846,45,140,6300,426,159,589,223
0023_top_20250711_t0.png,8,1489,738,1511,811,22,73,1606,464,578,576,627
0023_top_20250711_t0.png,9,1340,709,1374,851,34,142,4828,416,256,593,317
0023_top_20250711_t0.png,10,1368,712,1404,839,36,127,4572,430,305,593,373
0023_top_20250711_t0.png,11,1333,667,1371,816,38,149,5662,462,245,640,310
0023_top_20250711_t0.png,12,1390,1006,1416,1089,26,83,2158,25,354,159,411
0023_top_20250711_t0.png,13,1376,674,1411,815,35,141,4935,462,321,640,386
